Time,Latitude,Longitude,Speed(km/h),Altitude(m)
23:49:28,-38.059572,144.3826,0.72,10.4
23:49:29,-38.059573,144.382601,0.26,10.7
23:49:30,-38.059573,144.382601,0.44,11.1
23:49:31,-38.059573,144.382601,0.31,11.8
23:49:32,-38.059574,144.382601,0.0,12.3
23:49:33,-38.059574,144.382601,0.04,12.7
23:49:34,-38.059574,144.382601,0.11,12.9
23:49:35,-38.059574,144.382601,0.31,13.0
23:49:36,-38.059574,144.3826,0.52,13.6
23:49:37,-38.059574,144.3826,0.04,13.8
23:49:38,-38.059574,144.382599,0.09,13.9
23:49:39,-38.059574,144.3826,0.43,14.3
23:49:40,-38.059574,144.3826,0.02,14.5
